Start Time, End Time, Color, Eclipse
2012-10-20T06:37:23.000000000, 2012-10-20T07:14:10.000000000,0xFF0000, ECLIPSE
2012-10-20T15:36:11.000000000, 2012-10-20T16:13:01.000000000,0xFF0000, ECLIPSE
2012-10-21T00:35:00.000000000, 2012-10-21T01:11:53.000000000,0xFF0000, ECLIPSE
2012-10-21T09:33:48.000000000, 2012-10-21T10:10:43.000000000,0xFF0000, ECLIPSE
2012-10-21T18:32:37.000000000, 2012-10-21T19:09:35.000000000,0xFF0000, ECLIPSE
2012-10-22T03:31:24.000000000, 2012-10-22T04:08:26.000000000,0xFF0000, ECLIPSE
2012-10-22T12:30:13.000000000, 2012-10-22T13:07:17.000000000,0xFF0000, ECLIPSE
2012-10-22T21:29:01.000000000, 2012-10-22T22:06:08.000000000,0xFF0000, ECLIPSE
2012-10-23T06:27:50.000000000, 2012-10-23T07:04:58.000000000,0xFF0000, ECLIPSE
2012-10-23T15:26:37.000000000, 2012-10-23T16:03:50.000000000,0xFF0000, ECLIPSE
2012-10-24T00:25:27.000000000, 2012-10-24T01:02:40.000000000,0xFF0000, ECLIPSE
2012-10-24T09:24:15.000000000, 2012-10-24T10:01:31.000000000,0xFF0000, ECLIPSE
2012-10-24T18:23:04.000000000, 2012-10-24T19:00:22.000000000,0xFF0000, ECLIPSE
2012-10-25T03:21:52.000000000, 2012-10-25T03:59:12.000000000,0xFF0000, ECLIPSE
2012-10-25T12:20:42.000000000, 2012-10-25T12:58:03.000000000,0xFF0000, ECLIPSE
2012-10-25T21:19:29.000000000, 2012-10-25T21:56:54.000000000,0xFF0000, ECLIPSE
2012-10-26T06:18:18.000000000, 2012-10-26T06:55:45.000000000,0xFF0000, ECLIPSE
2012-10-26T15:17:06.000000000, 2012-10-26T15:54:35.000000000,0xFF0000, ECLIPSE
2012-10-27T00:15:55.000000000, 2012-10-27T00:53:25.000000000,0xFF0000, ECLIPSE
2012-10-27T09:14:44.000000000, 2012-10-27T09:52:15.000000000,0xFF0000, ECLIPSE
2012-10-27T18:13:31.000000000, 2012-10-27T18:51:06.000000000,0xFF0000, ECLIPSE
2012-10-28T03:12:20.000000000, 2012-10-28T03:49:55.000000000,0xFF0000, ECLIPSE
2012-10-28T12:11:09.000000000, 2012-10-28T12:48:45.000000000,0xFF0000, ECLIPSE
2012-10-28T21:09:57.000000000, 2012-10-28T21:47:35.000000000,0xFF0000, ECLIPSE
2012-10-29T06:08:45.000000000, 2012-10-29T06:46:24.000000000,0xFF0000, ECLIPSE
2012-10-29T15:07:32.000000000, 2012-10-29T15:45:14.000000000,0xFF0000, ECLIPSE
2012-10-30T00:06:20.000000000, 2012-10-30T00:44:04.000000000,0xFF0000, ECLIPSE
2012-10-30T09:05:08.000000000, 2012-10-30T09:42:53.000000000,0xFF0000, ECLIPSE
2012-10-30T18:03:57.000000000, 2012-10-30T18:41:43.000000000,0xFF0000, ECLIPSE
2012-10-31T03:02:45.000000000, 2012-10-31T03:40:31.000000000,0xFF0000, ECLIPSE
2012-10-31T12:01:34.000000000, 2012-10-31T12:39:20.000000000,0xFF0000, ECLIPSE
2012-10-31T21:00:21.000000000, 2012-10-31T21:38:09.000000000,0xFF0000, ECLIPSE
2012-11-01T05:59:10.000000000, 2012-11-01T06:36:59.000000000,0xFF0000, ECLIPSE
2012-11-01T14:57:58.000000000, 2012-11-01T15:35:47.000000000,0xFF0000, ECLIPSE
2012-11-01T23:56:47.000000000, 2012-11-02T00:34:36.000000000,0xFF0000, ECLIPSE
2012-11-02T08:55:34.000000000, 2012-11-02T09:33:25.000000000,0xFF0000, ECLIPSE
2012-11-02T17:54:23.000000000, 2012-11-02T18:32:14.000000000,0xFF0000, ECLIPSE
2012-11-03T02:53:12.000000000, 2012-11-03T03:31:02.000000000,0xFF0000, ECLIPSE
