Start Time, End Time, Color, Thruster
2016-01-28T14:45:09.000000000, 2016-01-28T16:49:24.000000000,0xFF0000, Thruster
2016-02-18T19:44:01.000000000, 2016-02-18T22:10:02.000000000,0xFF0000, Thruster
2016-03-10T17:00:34.000000000, 2016-03-10T20:15:24.000000000,0xFF0000, Thruster
2016-03-31T15:00:07.000000000, 2016-03-31T18:00:24.000000000,0xFF0000, Thruster
2016-04-21T14:30:15.000000000, 2016-04-21T17:39:23.000000000,0xFF0000, Thruster
2016-05-05T22:12:09.000000000, 2016-05-05T22:12:40.000000000,0xFF0000, Thruster
2016-05-05T22:12:09.000000000, 2016-05-05T22:12:40.000000000,0xFF0000, Thruster2
2016-05-12T12:00:16.000000000, 2016-05-12T15:08:55.000000000,0xFF0000, Thruster
2016-05-26T17:30:44.000000000, 2016-05-26T19:21:09.000000000,0xFF0000, Thruster
2016-06-16T14:00:08.000000000, 2016-06-16T17:03:59.000000000,0xFF0000, Thruster
2016-06-30T14:00:23.000000000, 2016-06-30T16:06:08.000000000,0xFF0000, Thruster
2016-07-21T20:20:19.000000000, 2016-07-21T23:33:29.000000000,0xFF0000, Thruster
2016-08-04T15:45:26.000000000, 2016-08-04T17:40:34.000000000,0xFF0000, Thruster
2016-08-25T13:30:11.000000000, 2016-08-25T16:32:58.000000000,0xFF0000, Thruster
2016-09-15T13:00:13.000000000, 2016-09-15T15:57:31.000000000,0xFF0000, Thruster
2016-10-06T13:15:22.000000000, 2016-10-06T14:16:44.000000000,0xFF0000, Thruster
2016-10-27T17:00:33.000000000, 2016-10-27T19:42:59.000000000,0xFF0000, Thruster
2016-11-21T14:45:18.000000000, 2016-11-21T17:56:30.000000000,0xFF0000, Thruster
2016-12-15T00:40:18.000000000, 2016-12-15T03:27:44.000000000,0xFF0000, Thruster
2017-01-05T13:30:12.000000000, 2017-01-05T15:52:43.000000000,0xFF0000, Thruster
2017-01-31T21:30:23.000000000, 2017-01-31T23:59:57.000000000,0xFF0000, Thruster
2017-02-01T00:00:16.000000000, 2017-02-01T00:26:17.000000000,0xFF0000, Thruster
2017-02-23T21:00:28.000000000, 2017-02-23T23:32:44.000000000,0xFF0000, Thruster
2017-03-07T19:25:11.000000000, 2017-03-07T19:34:45.000000000,0xFF0000, Thruster
2017-03-07T19:25:11.000000000, 2017-03-07T19:34:45.000000000,0xFF0000, Thruster2
