#Start Time, End Time, Color, Charging Event, Max Charge
2013-03-27T15:38:29.0430, 2013-03-27T15:43:55.9750,0xFF0000, Charging, -0.690471
2013-03-27T17:23:22.2540, 2013-03-27T18:02:31.1540,0xFF0000, Charging, 45.8267
2013-03-28T00:31:44.0270, 2013-03-28T00:33:47.3370,0xFF0000, Charging, 23.1785
2013-03-28T00:40:30.1430, 2013-03-28T00:41:57.8920,0xFF0000, Charging, 188.163
2013-03-28T01:03:19.7460, 2013-03-28T01:03:22.8080,0xFF0000, Charging, 26.2913
2013-03-28T01:35:52.0260, 2013-03-28T01:35:52.7140,0xFF0000, Charging, 25.7839
2013-03-28T02:21:17.2330, 2013-03-28T02:21:59.7320,0xFF0000, Charging, 19.9741
2013-03-28T09:32:29.0030, 2013-03-28T09:32:45.9400,0xFF0000, Charging, -1.84253
2013-03-28T11:20:29.4600, 2013-03-28T11:21:11.7090,0xFF0000, Charging, 27.9202
2013-03-29T03:33:24.0130, 2013-03-29T03:44:05.9400,0xFF0000, Charging, -2.76951
2013-03-29T05:19:47.7220, 2013-03-29T08:09:37.1220,0xFF0000, Charging, 194.991
2013-03-29T12:32:44.0530, 2013-03-29T12:33:00.9900,0xFF0000, Charging, -11.4176
2013-03-29T14:18:56.0740, 2013-03-29T15:46:14.3660,0xFF0000, Charging, 66.9947
2013-03-29T15:51:12.6740, 2013-03-29T15:51:27.4240,0xFF0000, Charging, 21.1299
2013-03-29T15:54:17.5460, 2013-03-29T16:07:37.2210,0xFF0000, Charging, 54.1237
2013-03-29T16:09:43.4060, 2013-03-29T16:45:46.4340,0xFF0000, Charging, 69.1615
2013-03-29T22:19:24.0470, 2013-03-29T22:36:00.9690,0xFF0000, Charging, -1.81201
2013-03-29T23:17:28.6170, 2013-03-29T23:19:27.4280,0xFF0000, Charging, 32.3720
2013-03-29T23:27:20.6700, 2013-03-29T23:29:03.0430,0xFF0000, Charging, 2.65888
2013-03-31T19:43:04.0220, 2013-03-31T19:51:20.9510,0xFF0000, Charging, -2.05615
2013-03-31T19:53:34.0120, 2013-03-31T19:54:50.9480,0xFF0000, Charging, -2.05234
2013-03-31T20:09:29.0590, 2013-03-31T20:09:50.9960,0xFF0000, Charging, -0.602731
2013-04-01T05:10:14.0350, 2013-04-01T05:10:30.9720,0xFF0000, Charging, -2.95262
2013-04-01T12:33:29.0450, 2013-04-01T12:33:40.9820,0xFF0000, Charging, -4.67689
2013-04-01T14:08:34.0140, 2013-04-01T14:08:45.9520,0xFF0000, Charging, -4.26490
2013-04-01T23:07:04.0570, 2013-04-01T23:07:15.9940,0xFF0000, Charging, -4.33738
2013-04-03T02:02:14.0580, 2013-04-03T02:02:25.9960,0xFF0000, Charging, -4.31067
2013-04-04T03:53:39.0050, 2013-04-04T03:54:20.9410,0xFF0000, Charging, -48.9624
2013-04-04T04:54:19.8830, 2013-04-04T04:55:27.7570,0xFF0000, Charging, 33.6728
2013-04-06T19:04:44.0410, 2013-04-06T19:04:45.9790,0xFF0000, Charging, -89.3378
2013-04-06T19:12:29.0350, 2013-04-06T19:14:55.9700,0xFF0000, Charging, -62.5544
2013-04-06T19:21:04.0270, 2013-04-06T19:21:30.9640,0xFF0000, Charging, -37.1633
2013-04-06T19:28:09.0210, 2013-04-06T19:28:45.9580,0xFF0000, Charging, -23.5142
2013-04-06T19:32:19.0170, 2013-04-06T19:34:10.9530,0xFF0000, Charging, -1.72045
2013-04-07T04:00:49.0610, 2013-04-07T04:02:55.9970,0xFF0000, Charging, -2.89921
2013-04-07T04:30:23.0360, 2013-04-07T04:38:12.4050,0xFF0000, Charging, 57.2976
2013-04-07T04:50:56.4560, 2013-04-07T05:22:00.4910,0xFF0000, Charging, 4.39841
2013-04-07T13:04:59.0320, 2013-04-07T13:05:55.9690,0xFF0000, Charging, -1.97604
2013-04-07T13:20:49.0200, 2013-04-07T13:22:00.9560,0xFF0000, Charging, -1.78531
2013-04-14T09:11:37.8340, 2013-04-14T09:16:07.6430,0xFF0000, Charging, 2.62074
2013-04-14T09:20:36.5780, 2013-04-14T09:24:23.5750,0xFF0000, Charging, 2.75044
2013-04-24T11:14:44.0430, 2013-04-24T11:16:40.9790,0xFF0000, Charging, -0.961318
2013-04-24T18:11:39.0050, 2013-04-24T18:12:30.9420,0xFF0000, Charging, -0.694286
2013-04-24T18:20:14.7490, 2013-04-24T20:48:32.9590,0xFF0000, Charging, 128.920
2013-04-26T05:06:04.3310, 2013-04-26T05:06:20.1430,0xFF0000, Charging, 3.11666
2013-04-26T05:12:26.2640, 2013-04-26T07:48:30.2810,0xFF0000, Charging, 30.9758
2013-05-01T11:20:14.0190, 2013-05-01T11:55:39.2440,0xFF0000, Charging, 33.3944
2013-05-01T11:58:31.4300, 2013-05-01T12:09:17.3600,0xFF0000, Charging, 4.21912
2013-05-01T12:13:35.4190, 2013-05-01T12:35:12.5290,0xFF0000, Charging, 11.8029
2013-05-01T12:37:16.1530, 2013-05-01T14:01:02.5950,0xFF0000, Charging, 38.0064
2013-05-01T14:05:46.9040, 2013-05-01T14:06:04.5290,0xFF0000, Charging, 2.38804
2013-05-01T14:10:32.3380, 2013-05-01T14:22:24.2050,0xFF0000, Charging, 8.81971
2013-05-01T14:32:04.0110, 2013-05-01T14:35:29.5710,0xFF0000, Charging, 5.70306
2013-05-01T19:12:14.0090, 2013-05-01T19:25:12.1880,0xFF0000, Charging, 22.1790
2013-05-01T19:37:54.3040, 2013-05-01T19:57:40.8530,0xFF0000, Charging, 21.8013
2013-05-02T06:29:50.1660, 2013-05-02T06:37:11.5360,0xFF0000, Charging, 4.09705
2013-05-02T06:39:42.0970, 2013-05-02T06:39:42.4090,0xFF0000, Charging, 2.26978
2013-05-25T00:02:04.0280, 2013-05-25T00:03:20.9640,0xFF0000, Charging, -1.67468
2013-05-25T00:07:04.0240, 2013-05-25T00:08:45.9610,0xFF0000, Charging, 0.667582
2013-05-25T20:11:19.2270, 2013-05-25T20:12:01.9760,0xFF0000, Charging, 2.27359
2013-05-26T03:33:04.0380, 2013-05-26T03:34:20.9750,0xFF0000, Charging, 1.40383
2013-06-01T06:07:04.0480, 2013-06-01T06:07:25.9850,0xFF0000, Charging, -0.976577
