#Start Time, End Time, Color, Thruster
2019-02-19T22:06:10.000000000, 2019-02-19T23:59:57.000000000,0xFF0000, Thruster2
2019-02-19T23:59:57.000000000, 2019-02-20T00:06:11.000000000,0xFF0000, Thruster
2019-02-19T23:59:57.000000000, 2019-02-20T00:06:11.000000000,0xFF0000, Thruster2
2019-02-19T23:59:57.000000000, 2019-02-20T00:06:11.000000000,0xFF0000, Thruster
2019-02-19T23:59:57.000000000, 2019-02-20T00:06:11.000000000,0xFF0000, Thruster2
2019-02-19T23:59:57.000000000, 2019-02-20T00:06:11.000000000,0xFF0000, Thruster
2019-02-19T23:59:57.000000000, 2019-02-20T00:06:11.000000000,0xFF0000, Thruster2
2019-02-19T23:59:57.000000000, 2019-02-20T00:06:11.000000000,0xFF0000, Thruster
2019-02-19T23:59:57.000000000, 2019-02-20T00:06:11.000000000,0xFF0000, Thruster2
2019-02-22T21:16:12.000000000, 2019-02-22T23:36:43.000000000,0xFF0000, Thruster
2019-02-22T21:16:12.000000000, 2019-02-22T23:36:43.000000000,0xFF0000, Thruster2
2019-03-06T15:27:17.000000000, 2019-03-06T18:42:47.000000000,0xFF0000, Thruster
2019-04-02T18:56:16.000000000, 2019-04-02T22:37:03.000000000,0xFF0000, Thruster
2019-04-25T19:31:09.000000000, 2019-04-25T23:01:21.000000000,0xFF0000, Thruster
2019-05-09T14:01:19.000000000, 2019-05-09T15:01:01.000000000,0xFF0000, Thruster
2019-05-16T14:26:17.000000000, 2019-05-16T15:40:25.000000000,0xFF0000, Thruster
2019-06-04T12:31:17.000000000, 2019-06-04T15:32:34.000000000,0xFF0000, Thruster
2019-06-20T18:51:15.000000000, 2019-06-20T21:31:04.000000000,0xFF0000, Thruster
2019-06-27T20:01:13.000000000, 2019-06-27T20:23:21.000000000,0xFF0000, Thruster
2019-06-27T20:01:13.000000000, 2019-06-27T20:23:21.000000000,0xFF0000, Thruster2
2019-07-02T15:46:20.000000000, 2019-07-02T18:04:15.000000000,0xFF0000, Thruster2
2019-07-02T15:46:20.000000000, 2019-07-02T18:04:15.000000000,0xFF0000, Thruster2
2019-07-12T15:41:16.000000000, 2019-07-12T17:11:26.000000000,0xFF0000, Thruster
2019-07-15T14:01:01.000000000, 2019-07-15T15:01:03.000000000,0xFF0000, Thruster
2019-07-15T14:01:01.000000000, 2019-07-15T15:01:02.000000000,0xFF0000, Thruster2
