MAVEN LPW LP Stub DAC-to-sweep voltage calibration Wed Sep 17 14:15:19 2014
DAC Step	V1	V2
386	40.1407	39.8950
387	40.1166	39.8714
388	40.0926	39.8474
389	40.0685	39.8220
390	40.0444	39.7961
391	40.0203	39.7701
392	39.9962	39.7445
393	39.9721	39.7195
394	39.9480	39.6949
395	39.9238	39.6709
396	39.8997	39.6474
397	39.8755	39.6250
398	39.8513	39.6031
399	39.8272	39.5810
400	39.8030	39.5581
401	39.7789	39.5328
402	39.7547	39.5067
403	39.7306	39.4808
404	39.7065	39.4558
405	39.6824	39.4332
406	39.6584	39.4117
407	39.6344	39.3906
408	39.6103	39.3692
409	39.5862	39.3465
410	39.5620	39.3235
411	39.5379	39.3005
412	39.5138	39.2778
413	39.4898	39.2573
414	39.4658	39.2369
415	39.4418	39.2154
416	39.4178	39.1916
417	39.3937	39.1636
418	39.3695	39.1333
419	39.3454	39.1020
420	39.3213	39.0710
421	39.2973	39.0409
422	39.2733	39.0116
423	39.2494	38.9836
424	39.2254	38.9577
425	39.2013	38.9349
426	39.1772	38.9140
427	39.1531	38.8941
428	39.1290	38.8741
429	39.1049	38.8528
430	39.0809	38.8311
431	39.0569	38.8088
432	39.0329	38.7856
433	39.0089	38.7619
434	38.9850	38.7373
435	38.9611	38.7119
436	38.9371	38.6856
437	38.9131	38.6584
438	38.8891	38.6304
439	38.8651	38.6023
440	38.8411	38.5746
441	38.8171	38.5470
442	38.7932	38.5200
443	38.7692	38.4944
444	38.7452	38.4707
445	38.7212	38.4510
446	38.6971	38.4332
447	38.6730	38.4151
448	38.6489	38.3951
449	38.6248	38.3694
450	38.6007	38.3417
451	38.5766	38.3139
452	38.5525	38.2878
453	38.5285	38.2665
454	38.5045	38.2470
455	38.4805	38.2281
456	38.4565	38.2087
457	38.4326	38.1872
458	38.4086	38.1649
459	38.3847	38.1419
460	38.3607	38.1184
461	38.3367	38.0946
462	38.3126	38.0704
463	38.2885	38.0459
464	38.2643	38.0213
465	38.2400	37.9970
466	38.2157	37.9727
467	38.1914	37.9484
468	38.1672	37.9239
469	38.1432	37.8995
470	38.1192	37.8750
471	38.0952	37.8502
472	38.0711	37.8251
473	38.0468	37.7995
474	38.0224	37.7735
475	37.9981	37.7474
476	37.9738	37.7211
477	37.9497	37.6957
478	37.9258	37.6701
479	37.9018	37.6439
480	37.8778	37.6165
481	37.8537	37.5861
482	37.8295	37.5548
483	37.8053	37.5240
484	37.7811	37.4954
485	37.7570	37.4708
486	37.7328	37.4484
487	37.7087	37.4272
488	37.6846	37.4064
489	37.6604	37.3854
490	37.6363	37.3644
491	37.6121	37.3425
492	37.5879	37.3189
493	37.5636	37.2915
494	37.5394	37.2626
495	37.5151	37.2336
496	37.4909	37.2061
497	37.4668	37.1818
498	37.4427	37.1593
499	37.4186	37.1380
500	37.3946	37.1175
501	37.3707	37.0977
502	37.3467	37.0785
503	37.3226	37.0591
504	37.2983	37.0386
505	37.2737	37.0157
506	37.2490	36.9916
507	37.2240	36.9673
508	37.1989	36.9434
509	37.1736	36.9215
510	37.1481	36.9000
511	37.1228	36.8784
512	37.0978	36.8559
513	37.0733	36.8317
514	37.0491	36.8066
515	37.0252	36.7811
516	37.0012	36.7555
517	36.9771	36.7302
518	36.9530	36.7049
519	36.9289	36.6799
520	36.9048	36.6555
521	36.8807	36.6323
522	36.8566	36.6096
523	36.8325	36.5867
524	36.8084	36.5630
525	36.7844	36.5382
526	36.7604	36.5125
527	36.7364	36.4861
528	36.7123	36.4589
529	36.6881	36.4308
530	36.6638	36.4021
531	36.6396	36.3735
532	36.6154	36.3454
533	36.5914	36.3176
534	36.5674	36.2907
535	36.5434	36.2652
536	36.5194	36.2416
537	36.4953	36.2218
538	36.4711	36.2037
539	36.4469	36.1855
540	36.4228	36.1652
541	36.3988	36.1404
542	36.3749	36.1134
543	36.3510	36.0852
544	36.3271	36.0568
545	36.3030	36.0289
546	36.2789	36.0012
547	36.2548	35.9743
548	36.2307	35.9489
549	36.2067	35.9265
550	36.1828	35.9055
551	36.1588	35.8846
552	36.1349	35.8626
553	36.1109	35.8369
