MAVEN LPW LP Sweep DAC-to-sweep voltage calibration Wed Sep 03 15:19:55 2014
DAC Step	V1	V2
446	38.7353	38.5689
447	38.7112	38.5448
448	38.6871	38.5206
449	38.6629	38.4963
450	38.6388	38.4720
451	38.6146	38.4477
452	38.5905	38.4235
453	38.5665	38.3994
454	38.5425	38.3755
455	38.5185	38.3515
456	38.4946	38.3275
457	38.4706	38.3034
458	38.4467	38.2793
459	38.4227	38.2551
460	38.3987	38.2310
461	38.3746	38.2070
462	38.3505	38.1830
463	38.3264	38.1590
464	38.3022	38.1349
465	38.2779	38.1107
466	38.2537	38.0865
467	38.2294	38.0623
468	38.2051	38.0381
469	38.1810	38.0139
470	38.1569	37.9897
471	38.1328	37.9655
472	38.1086	37.9414
473	38.0843	37.9173
474	38.0598	37.8932
475	38.0355	37.8692
476	38.0112	37.8451
477	37.9872	37.8210
478	37.9633	37.7969
479	37.9394	37.7728
480	37.9154	37.7487
481	37.8913	37.7246
482	37.8671	37.7005
483	37.8429	37.6764
484	37.8186	37.6523
485	37.7943	37.6281
486	37.7701	37.6038
487	37.7458	37.5795
488	37.7216	37.5553
489	37.6975	37.5312
490	37.6733	37.5072
491	37.6492	37.4832
492	37.6251	37.4592
493	37.6009	37.4351
494	37.5766	37.4110
495	37.5523	37.3868
496	37.5281	37.3627
497	37.5039	37.3386
498	37.4798	37.3145
499	37.4557	37.2905
500	37.4316	37.2664
501	37.4076	37.2425
502	37.3837	37.2185
503	37.3596	37.1944
504	37.3353	37.1701
505	37.3107	37.1455
506	37.2859	37.1206
507	37.2609	37.0955
508	37.2358	37.0703
509	37.2104	37.0449
510	37.1850	37.0193
511	37.1597	36.9939
512	37.1346	36.9687
513	37.1100	36.9440
514	37.0858	36.9197
515	37.0617	36.8955
516	37.0377	36.8714
517	37.0136	36.8472
518	36.9895	36.8230
519	36.9655	36.7988
520	36.9414	36.7747
521	36.9173	36.7506
522	36.8932	36.7266
523	36.8690	36.7026
524	36.8449	36.6786
525	36.8208	36.6547
526	36.7966	36.6308
527	36.7725	36.6068
528	36.7483	36.5829
529	36.7241	36.5589
530	36.7000	36.5348
531	36.6758	36.5108
532	36.6517	36.4867
533	36.6277	36.4627
534	36.6036	36.4386
535	36.5796	36.4146
536	36.5556	36.3906
537	36.5315	36.3666
538	36.5073	36.3426
539	36.4832	36.3185
540	36.4591	36.2945
541	36.4351	36.2704
542	36.4111	36.2463
543	36.3870	36.2222
544	36.3630	36.1982
545	36.3388	36.1742
546	36.3147	36.1503
547	36.2905	36.1264
548	36.2664	36.1025
549	36.2424	36.0786
550	36.2185	36.0546
551	36.1946	36.0307
552	36.1707	36.0067
553	36.1467	35.9827
554	36.1226	35.9586
555	36.0985	35.9346
556	36.0744	35.9106
557	36.0504	35.8867
558	36.0263	35.8627
559	36.0023	35.8388
560	35.9783	35.8149
561	35.9543	35.7909
562	35.9304	35.7669
563	35.9064	35.7429
564	35.8825	35.7189
565	35.8586	35.6951
566	35.8347	35.6713
567	35.8108	35.6475
568	35.7868	35.6236
569	35.7627	35.5996
570	35.7386	35.5754
571	35.7145	35.5513
572	35.6903	35.5271
573	35.6662	35.5030
574	35.6420	35.4790
575	35.6179	35.4549
576	35.5938	35.4308
577	35.5697	35.4066
578	35.5457	35.3823
579	35.5216	35.3581
580	35.4976	35.3339
581	35.4736	35.3099
582	35.4496	35.2860
583	35.4257	35.2621
584	35.4017	35.2382
585	35.3778	35.2141
586	35.3538	35.1900
587	35.3299	35.1659
588	35.3059	35.1418
589	35.2819	35.1178
590	35.2578	35.0938
591	35.2337	35.0697
592	35.2095	35.0457
593	35.1853	35.0216
594	35.1611	34.9975
595	35.1369	34.9734
596	35.1127	34.9493
597	35.0886	34.9251
598	35.0645	34.9009
599	35.0405	34.8768
600	35.0163	34.8526
601	34.9920	34.8285
602	34.9676	34.8044
603	34.9432	34.7804
604	34.9189	34.7564
605	34.8948	34.7324
606	34.8709	34.7084
607	34.8469	34.6845
608	34.8229	34.6605
609	34.7987	34.6366
610	34.7744	34.6126
611	34.7501	34.5887
612	34.7259	34.5646
613	34.7018	34.5404
614	34.6776	34.5161
615	34.6536	34.4918
616	34.6295	34.4675
617	34.6055	34.4433
618	34.5814	34.4192
619	34.5574	34.3951
620	34.5332	34.3711
621	34.5089	34.3471
622	34.4845	34.3231
623	34.4601	34.2992
624	34.4358	34.2752
625	34.4117	34.2512
626	34.3877	34.2272
627	34.3637	34.2032
628	34.3397	34.1792
629	34.3157	34.1553
630	34.2917	34.1313
631	34.2675	34.1072
632	34.2432	34.0828
633	34.2187	34.0582
634	34.1939	34.0333
635	34.1690	34.0083
636	34.1440	33.9831
637	34.1187	33.9578
638	34.0934	33.9324
639	34.0681	33.9071
640	34.0431	33.8820
641	34.0185	33.8572
642	33.9942	33.8327
643	33.9701	33.8083
644	33.9460	33.7839
645	33.9218	33.7595
646	33.8975	33.7351
647	33.8733	33.7108
648	33.8491	33.6865
649	33.8249	33.6622
650	33.8007	33.6380
651	33.7765	33.6138
652	33.7522	33.5896
653	33.7279	33.5655
654	33.7035	33.5415
655	33.6791	33.5175
656	33.6547	33.4934
657	33.6304	33.4691
658	33.6061	33.4448
659	33.5818	33.4204
660	33.5576	33.3961
661	33.5334	33.3719
662	33.5093	33.3477
663	33.4852	33.3236
664	33.4610	33.2994
665	33.4368	33.2752
666	33.4125	33.2509
667	33.3882	33.2267
668	33.3640	33.2024
669	33.3398	33.1781
670	33.3156	33.1539
671	33.2915	33.1296
672	33.2673	33.1054
673	33.2431	33.0812
674	33.2188	33.0570
675	33.1946	33.0328
676	33.1704	33.0086
677	33.1463	32.9844
678	33.1221	32.9603
